Agent_Num,Pack_Type,Rank,dimM,dimN,Sim_Type,SVD Method,Spatial_Size,Timing, MeanError, MaxError,Frobenius,Total/Raw, Raw/Total
1048576,0,4,1048576,4,0,0,2048,11.7093,3.65E-05,0.000488281,0.129996,0, inf
1048576,0,4,1048576,4,0,1,2048,4.45776,0.000278824,0.311657,0.954806,0, inf
1048576,1,4,1048576,4,0,0,2048,11.414,4.17E-05,0.000366211,0.141094,0, inf
1048576,1,4,1048576,4,0,1,2048,4.25642,0.204692,0.70874,500.304,0, inf
1048576,2,4,1048576,4,0,0,2048,11.7979,3.37E-05,0.000366211,0.124279,0, inf
1048576,2,4,1048576,4,0,1,2048,4.24202,0.203697,0.704834,501.794,0, inf
1048576,0,4,1048576,4,1,0,2048,11.3741,3.38E-05,0.000366211,0.121887,0, inf
1048576,0,4,1048576,4,1,1,2048,3.87402,0.000298877,0.233459,0.943631,0, inf
1048576,1,4,1048576,4,1,0,2048,11.4293,5.91E-05,0.000366211,0.182233,0, inf
1048576,1,4,1048576,4,1,1,2048,4.18515,0.203828,0.690552,499.624,0, inf
1048576,2,4,1048576,4,1,0,2048,12.7161,4.01E-05,0.000244141,0.140315,0, inf
1048576,2,4,1048576,4,1,1,2048,4.2121,0.203882,0.684243,499.849,0, inf
1048576,0,4,1048576,4,2,0,2048,20.5818,0,0,0,0, inf
1048576,0,4,1048576,4,2,1,2048,48.0927,0.0735251,248.672,499.807,0, inf
1048576,1,4,1048576,4,2,0,2048,24.5767,4.26E-05,0.000366211,0.148492,0, inf
1048576,1,4,1048576,4,2,1,2048,10.7545,0.203994,0.765259,499.762,0, inf
1048576,2,4,1048576,4,2,0,2048,35.7504,4.56E-05,0.000366211,0.151306,0, inf
1048576,2,4,1048576,4,2,1,2048,36.1697,0.2038,0.947559,499.712,0, inf
1048576,0,4,1048576,4,3,0,2048,11.6463,3.32E-05,0.000244141,0.120507,0, inf
1048576,0,4,1048576,4,3,1,2048,3.82467,0.000338882,0.38916,1.15379,0, inf
1048576,1,4,1048576,4,3,0,2048,25.3924,3.04E-05,0.000244141,0.114788,0, inf
1048576,1,4,1048576,4,3,1,2048,11.0149,0.203754,0.686035,499.807,0, inf
1048576,2,4,1048576,4,3,0,2048,30.7095,4.56E-05,0.000366211,0.151306,0, inf
1048576,2,4,1048576,4,3,1,2048,11.4357,0.203496,1.10831,499.431,0, inf
