Agent_Num,Pack_Type,Rank,dimM,dimN,Sim_Type,SVDMethod,Spatial_Size,y2, MeanError, z2,Frobenius,Total_Raw,x2
1048576,0,16,65536,64,5,0,2048,12.9675,0.0000000000,0.0000000000,0.0000000000,3,1
1048576,0,64,16384,256,5,0,2048,25.0674,0.0000000000,0.0000000000,0.0000000000,3,2
1048576,0,32,32768,128,5,0,2048,27.3587,0.0000000000,0.0000000000,0.0000000000,3,3
1048576,0,128,8192,512,5,0,2048,53.2086,0.0000000000,0.0000000000,0.0000000000,3,4
1048576,2,8,131072,32,5,0,2048,15.3021,0.0000112000,0.0000610000,0.0348537000,3,5
1048576,2,32,32768,128,5,0,2048,24.5406,0.0000135000,0.0000916000,0.0374877000,3,6
1048576,2,128,8192,512,5,0,2048,54.6831,0.0000127000,0.0000916000,0.0389721000,3,7
1048576,2,16,65536,64,5,0,2048,21.2268,0.0000137000,0.0000916000,0.0402910000,3,8
1048576,0,8,131072,32,5,0,2048,18.2152,0.0000123000,0.0000916000,0.0409855000,3,9
1048576,2,64,16384,256,5,0,2048,43.1385,0.0000144000,0.0000916000,0.0416153000,3,10
1048576,1,32,32768,128,5,0,2048,37.9542,0.0000227000,0.0001525880,0.0546173000,3,11
1048576,1,128,8192,512,5,0,2048,138.717,0.0000230000,0.0001525880,0.0553992000,3,12
1048576,1,64,16384,256,5,0,2048,73.1625,0.0000238000,0.0001831050,0.0566169000,3,13
1048576,1,16,65536,64,5,0,2048,34.5983,0.0000256000,0.0001831050,0.0587595000,3,14
1048576,2,4,262144,16,5,0,2048,13.5681,0.0023166900,0.0046386700,96.0590000000,3,15
1048576,2,4,262144,16,5,1,2048,13.1057,0.0850190000,14.8488000000,172.2020000000,3,16
1048576,0,8,131072,32,5,1,2048,22.2016,0.0900268000,22.4236000000,192.7660000000,3,17
1048576,0,16,65536,64,5,1,2048,11.9561,0.0989277000,23.8539000000,250.8340000000,3,18
1048576,1,16,65536,64,5,1,2048,41.3778,0.1879860000,16.8222000000,281.8300000000,3,19
1048576,0,4,262144,16,5,0,2048,16.7404,0.1983130000,1.0026900000,710.6390000000,3,20
1048576,0,4,262144,16,5,1,2048,13.2788,0.2238310000,10.0918000000,725.6590000000,3,21
1048576,1,8,131072,32,5,0,2048,19.2715,0.6149540000,1.9893500000,1395.5100000000,3,22
1048576,1,8,131072,32,5,1,2048,26.134,0.6345140000,10.0623000000,1409.8300000000,3,23
1048576,1,4,262144,16,5,0,2048,39.2374,4.3646600000,12.4731000000,8092.6200000000,3,24
1048576,1,4,262144,16,5,1,2048,32.1154,9.5953000000,40.2725000000,16512.8000000000,3,25
1048576,2,8,131072,32,5,1,2048,23.6217,8.5587700000,3053.5800000000,17782.4000000000,3,26
1048576,2,16,65536,64,5,1,2048,37.1518,10.2334000000,3327.3500000000,23927.5000000000,3,27
1048576,2,32,32768,128,5,1,2048,28.1993,12.2809000000,2297.4200000000,32590.3000000000,3,28
1048576,0,32,32768,128,5,1,2048,28.8224,10.4170000000,2827.5000000000,32595.6000000000,3,29
1048576,1,32,32768,128,5,1,2048,29.286,15.8468000000,3368.2300000000,33676.5000000000,3,30
1048576,2,64,16384,256,5,1,2048,45.0065,17.8098000000,1897.3700000000,45134.4000000000,3,31
1048576,0,64,16384,256,5,1,2048,22.2489,14.8669000000,2400.7300000000,45138.7000000000,3,32
1048576,1,64,16384,256,5,1,2048,42.3335,21.1704000000,2696.3400000000,46091.8000000000,3,33
1048576,2,128,8192,512,5,1,2048,42.432,28.4007000000,3044.9400000000,63126.2000000000,3,34
1048576,0,128,8192,512,5,1,2048,42.0773,23.8023000000,2556.5400000000,63134.5000000000,3,35
1048576,1,128,8192,512,5,1,2048,65.5199,30.1157000000,2149.1600000000,63872.6000000000,3,36
1048576,0,128,4096,1024,5,0,2048,153.322,0.0000000000,0.0000000000,0.0000000000,6,37
1048576,2,128,4096,1024,5,0,2048,116.548,0.0000124000,0.0000610000,0.0389847000,6,38
1048576,1,128,4096,1024,5,0,2048,269.484,0.0000252000,0.0001525880,0.0592661000,6,39
1048576,0,128,4096,1024,5,1,2048,93.9899,26.5729000000,2053.7400000000,63136.3000000000,6,40
1048576,2,128,4096,1024,5,1,2048,94.6067,29.1885000000,1683.6600000000,63138.4000000000,6,41
1048576,1,128,4096,1024,5,1,2048,94.5703,32.4031000000,1688.4200000000,63936.5000000000,6,42
1048576,0,8,65536,64,5,0,2048,18.5342,0.0000000000,0.0000000000,0.0000000000,7,43
1048576,0,16,32768,128,5,0,2048,19.5648,0.0000000000,0.0000000000,0.0000000000,7,44
1048576,0,32,16384,256,5,0,2048,35.908,0.0000000000,0.0000000000,0.0000000000,7,45
1048576,0,64,8192,512,5,0,2048,51.3488,0.0000000000,0.0000000000,0.0000000000,7,46
1048576,2,16,32768,128,5,0,2048,49.4783,0.0000141000,0.0000916000,0.0374877000,7,47
1048576,2,64,8192,512,5,0,2048,53.6143,0.0000136000,0.0000916000,0.0389721000,7,48
1048576,2,8,65536,64,5,0,2048,12.9719,0.0000134000,0.0000916000,0.0402910000,7,49
1048576,2,32,16384,256,5,0,2048,25.8197,0.0000138000,0.0000763000,0.0416153000,7,50
1048576,1,16,32768,128,5,0,2048,72.0679,0.0000229000,0.0001525880,0.0546173000,7,51
