y2,z2,w2,x2
12.9675,3.60E-05,3,1
25.0674,0.0000000000,3,2
27.3587,0.0000000000,3,3
53.2086,0.0000000000,3,4
15.3021,0.0000610000,3,5
24.5406,0.0000916000,3,6
54.6831,0.0000916000,3,7
21.2268,0.0000916000,3,8
18.2152,0.0000916000,3,9
43.1385,0.0000916000,3,10
37.9542,0.0001525880,3,11
138.717,0.0001525880,3,12
73.1625,0.0001831050,3,13
34.5983,0.0001831050,3,14
13.5681,0.0046386700,3,15
13.1057,14.8488000000,3,16
22.2016,22.4236000000,3,17
11.9561,23.8539000000,3,18
41.3778,16.8222000000,3,19
16.7404,1.0026900000,3,20
13.2788,10.0918000000,3,21
19.2715,1.9893500000,3,22
26.134,10.0623000000,3,23
39.2374,12.4731000000,3,24
32.1154,40.2725000000,3,25
23.6217,3053.5800000000,3,26
37.1518,3327.3500000000,3,27
28.1993,2297.4200000000,3,28
28.8224,2827.5000000000,3,29
29.286,3368.2300000000,3,30
45.0065,1897.3700000000,3,31
22.2489,2400.7300000000,3,32
42.3335,2696.3400000000,3,33
42.432,3044.9400000000,3,34
42.0773,2556.5400000000,3,35
65.5199,2149.1600000000,3,36
153.322,0.0000000000,6,37
116.548,0.0000610000,6,38
269.484,0.0001525880,6,39
93.9899,2053.7400000000,6,40
94.6067,1683.6600000000,6,41
94.5703,1688.4200000000,6,42
18.5342,0.0000000000,7,43
19.5648,0.0000000000,7,44
35.908,0.0000000000,7,45
51.3488,0.0000000000,7,46
49.4783,0.0000916000,7,47
53.6143,0.0000916000,7,48
12.9719,0.0000916000,7,49
25.8197,0.0000763000,7,50
72.0679,0.0001525880,7,51
80.3109,0.0001525880,7,52
58.0222,0.0001525880,7,53
38.4155,11.0044000000,7,54
32.3864,0.0000916000,7,55
16.4305,0.9985960000,7,56
21.7684,6.1296700000,7,57
26.4111,1.9329400000,7,58
103.426,9.5350200000,7,59
29.4819,16.0936000000,7,60
71.8101,18.2169000000,7,61
63.5415,687.0910000000,7,62
11.8988,2945.1300000000,7,63
67.0765,2137.9400000000,7,64
16.9903,1439.9300000000,7,65
44.178,2253.2400000000,7,66
25.5753,1282.5100000000,7,67
31.7938,2357.0200000000,7,68
32.4573,1575.3500000000,7,69
42.4983,2979.5800000000,7,70
41.2664,1887.1300000000,7,71
42.7602,1975.5200000000,7,72
657.821,0.0000000000,8,73
460.69,0.0000610000,8,74
1322.9,0.0001525880,8,75
237.033,2113.4500000000,8,76
240.117,3049.7300000000,8,77
239.324,2618.3700000000,8,78
152.378,0.0000000000,12,79
115.382,0.0000610000,12,80
269.363,0.0001525880,12,81
93.7293,2040.7000000000,12,82
94.7007,1565.7600000000,12,83
95.5673,1702.4000000000,12,84
19.7178,0.0000000000,15,85
24.0988,0.0000000000,15,86
50.7308,0.0000000000,15,87
49.7737,0.0000610000,15,88
52.602,0.0000763000,15,89
27.4865,0.0000763000,15,90
80.1863,0.0001525880,15,91
72.0103,0.0001525880,15,92
14.4412,0.0000916000,15,93
28.2546,0.9624020000,15,94
41.7286,3.9534300000,15,95
69.3006,1.9966400000,15,96
13.3921,267.6170000000,15,97
63.0387,1774.7400000000,15,98
16.3228,1130.6600000000,15,99
43.3335,421.3150000000,15,100
26.0764,1242.7900000000,15,101
20.7797,1985.2300000000,15,102
38.1179,423.1720000000,15,103
42.6057,2096.0400000000,15,104
41.2603,1794.9000000000,15,105
