Pack_Type,Rank,dimN,SimType,SVDMeth,Timing, MeanError, MaxError,Frobenius,Compres,ID
0,32,64,0,0,26.5915,246.756,1776.83,731930,1,64032000
0,32,64,0,1,36.5161,246.756,1776.84,731930,1,64032001
1,32,64,0,0,24.1686,269.028,1586.18,596853,1,64032010
1,32,64,0,1,100.502,270.563,1639.67,596928,1,64032011
2,32,64,0,0,17.9026,265.313,1784.27,596623,1,64032020
2,32,64,0,1,12.5777,262.705,1645.01,596690,1,64032021
0,32,64,1,0,47.9925,253.86,1798.6,740392,1,64032100
0,32,64,1,1,47.043,253.86,1798.57,740392,1,64032101
1,32,64,1,0,18.6145,274.072,1642.44,604765,1,64032110
1,32,64,1,1,103.883,274.948,1701.23,604823,1,64032111
2,32,64,1,0,17.7845,318.648,1489.54,590804,1,64032120
2,32,64,1,1,12.5311,318.437,1492.37,590821,1,64032121
0,32,64,2,0,22.1689,0,0,0,1,64032200
0,32,64,2,1,45.3364,0.0703399,241.96,1448.13,1,64032201
1,32,64,2,0,23.042,4.73E-05,0.000244141,0.128172,1,64032210
1,32,64,2,1,48.2562,0.232377,226.553,1474.53,1,64032211
2,32,64,2,0,47.0535,7.31E-05,0.000366211,0.151306,1,64032220
2,32,64,2,1,99.2134,0.191503,190.305,1474.81,1,64032221
0,32,64,3,0,21.4097,81.389,472.852,255770,1,64032300
0,32,64,3,1,13.4437,109.737,4923.44,315342,1,64032301
1,32,64,3,0,35.1013,145.322,772.511,336604,1,64032310
1,32,64,3,1,40.38,145.274,771.442,336611,1,64032311
2,32,64,3,0,36.3321,121.492,652.722,268544,1,64032320
2,32,64,3,1,41.3016,121.622,654.329,268551,1,64032321
0,32,64,4,0,24.2114,84.0605,922.918,264173,1,64032400
0,32,64,4,1,13.9833,84.0605,922.916,264173,1,64032401
1,32,64,4,0,39.6841,146.256,742.927,339256,1,64032410
1,32,64,4,1,41.4858,146.184,742.019,339263,1,64032411
2,32,64,4,0,27.9577,123.983,718.462,271420,1,64032420
2,32,64,4,1,37.5812,124.007,724.071,271427,1,64032421
0,32,64,5,0,23.9134,0,0,0,1,64032500
0,32,64,5,1,103.778,0.111146,26.4668,334.112,1,64032501
1,32,64,5,0,30.2914,0,0,0,1,64032510
1,32,64,5,1,42.7807,0.151667,42.4363,357.967,1,64032511
2,32,64,5,0,20.5831,0,0,0,1,64032520
2,32,64,5,1,39.306,12.9603,3319.27,32551.6,1,64032521
0,32,128,0,0,33.9813,317.047,1975.29,896136,3,128032000
0,32,128,0,1,16.0752,317.047,1975.31,896136,3,128032001
1,32,128,0,0,75.2716,392.593,1870.12,844013,3,128032010
1,32,128,0,1,40.7007,390.738,1861.6,844061,3,128032011
2,32,128,0,0,56.6826,392.407,1993.08,843668,3,128032020
2,32,128,0,1,35.1691,392.152,1968.59,843721,3,128032021
0,32,128,1,0,39.6431,322.646,1836.42,906304,3,128032100
0,32,128,1,1,18.3122,322.645,1836.41,906304,3,128032101
