Timing,MaxError,Compres,ID
26.5915,1776.83,1,64032000
24.1686,1586.18,1,64032010
17.9026,1784.27,1,64032020
47.9925,1798.6,1,64032100
18.6145,1642.44,1,64032110
17.7845,1489.54,1,64032120
22.1689,0,1,64032200
23.042,0.000244141,1,64032210
47.0535,0.000366211,1,64032220
21.4097,472.852,1,64032300
35.1013,772.511,1,64032310
36.3321,652.722,1,64032320
24.2114,922.918,1,64032400
39.6841,742.927,1,64032410
27.9577,718.462,1,64032420
23.9134,0,1,64032500
30.2914,0,1,64032510
20.5831,0,1,64032520
33.9813,1975.29,3,128032000
75.2716,1870.12,3,128032010
56.6826,1993.08,3,128032020
39.6431,1836.42,3,128032100
60.3147,1848.45,3,128032110
34.7275,1819.14,3,128032120
26.2929,0.00012207,3,128032200
34.2633,0.000244141,3,128032210
19.7831,0.000183105,3,128032220
47.5273,0.000488281,3,128032300
82.3778,800.936,3,128032310
38.1264,0.000732422,3,128032320
69.2897,1042.18,3,128032400
40.3575,1400.84,3,128032410
70.5203,280.47,3,128032420
27.3587,0,3,128032500
37.9542,0.000152588,3,128032510
24.5406,9.16E-05,3,128032520
119.367,1820.92,7,256032000
82.1118,1873.31,7,256032010
57.0005,1846.39,7,256032020
60.6452,1668.46,7,256032100
57.0968,1695.68,7,256032110
55.1729,1775.74,7,256032120
13.7358,0.00012207,7,256032200
49.361,0.000366211,7,256032210
51.2272,0.000366211,7,256032220
84.513,0.000366211,7,256032300
131.878,457.214,7,256032310
39.1827,0.000366211,7,256032320
93.9218,0.000976562,7,256032400
75.9934,1444.47,7,256032410
56.9666,0.119873,7,256032420
35.908,0,7,256032500
58.0222,0.000152588,7,256032510
25.8197,7.63E-05,7,256032520
171.558,1773.25,15,512032000
165.645,1736.36,15,512032010
163.594,1696.35,15,512032020
174.339,1574.13,15,512032100
163.984,1837.13,15,512032110
163.754,1676.88,15,512032120
21.2297,0.00012207,15,512032200
69.6556,0.000244141,15,512032210
41.797,0.000183105,15,512032220
67.7233,0.000244141,15,512032300
117.541,0.000610352,15,512032310
72.8055,0.000366211,15,512032320
116.651,0.000732422,15,512032400
164.318,103.746,15,512032410
119.836,0.000854492,15,512032420
50.7308,0,15,512032500
80.1863,0.000152588,15,512032510
52.602,7.63E-05,15,512032520
571.204,1831.43,25,1024032000
541.115,1751.49,25,1024032010
550.379,1506.97,25,1024032020
574.93,1496.47,25,1024032100
545.648,1565.97,25,1024032110
546.751,1508.89,25,1024032120
46.4118,0.00012207,25,1024032200
136.284,0.000366211,25,1024032210
108.776,0.000366211,25,1024032220
144.949,0.000244141,25,1024032300
290.358,0.000488281,25,1024032310
189.916,0.000244141,25,1024032320
332.342,0.000854492,25,1024032400
407.313,0.114197,25,1024032410
364.201,0.000732422,25,1024032420
150.195,0,25,1024032500
267.448,0.000152588,25,1024032510
114.674,6.10E-05,25,1024032520
3177.33,1503.81,32,2048032000
2833.43,1494.93,32,2048032010
2800.26,1493.59,32,2048032020
3443.52,1610.86,32,2048032100
2806.59,1475.37,32,2048032110
2876.98,1497.5,32,2048032120
129.847,0.000244141,32,2048032200
558.764,0.000244141,32,2048032210
419.556,0.000183105,32,2048032220
498.267,0.000183105,32,2048032300
844.36,0.000244141,32,2048032310
303.898,0.000244141,32,2048032320
1905.87,6.51782,32,2048032400
2149.33,0.0500488,32,2048032410
1194.02,0.000854492,32,2048032420
655.382,9.16E-05,32,2048032500
1320.28,0.000152588,32,2048032510
456.509,6.10E-05,32,2048032520
