Pack_Type,Rank,dimN,Sim_Type,SVD Method,Timing, MeanError, MaxError,Frobenius,Compres,ID
0,64,64,0,0,20.1852,0.000130762,0.00195312,0.40744,0,64064000
0,64,64,0,1,12.8858,0.000725753,0.0561523,2.20417,0,64064001
1,64,64,0,0,56.6389,0.00011616,0.00158691,0.361546,0,64064010
1,64,64,0,1,45.644,0.840279,3.06723,2002.88,0,64064011
2,64,64,0,0,30.8162,0.000115719,0.00158691,0.360648,0,64064020
2,64,64,0,1,89.0619,0.82592,3.16357,2000.37,0,64064021
0,64,64,1,0,30.0704,0.00012997,0.00183105,0.405598,0,64064100
0,64,64,1,1,37.3735,0.000640533,0.0859985,1.94002,0,64064101
1,64,64,1,0,28.7399,0.000114486,0.00146484,0.357473,0,64064110
1,64,64,1,1,101.047,0.839939,2.83472,1999.22,0,64064111
2,64,64,1,0,27.6852,0.000115499,0.00134277,0.360821,0,64064120
2,64,64,1,1,37.4617,0.829567,3.0148,1999.2,0,64064121
0,64,64,2,0,17.3534,0,0,0,0,64064200
0,64,64,2,1,36.3737,0.0337801,249.96,2023.05,0,64064201
1,64,64,2,0,13.3637,0,0,0,0,64064210
1,64,64,2,1,12.9878,0.145971,249.922,1999.31,0,64064211
2,64,64,2,0,31.882,0,0,0,0,64064220
2,64,64,2,1,47.6438,0.129654,250.007,1999.42,0,64064221
0,64,64,3,0,42.7755,0,0,0,0,64064300
0,64,64,3,1,40.7342,51.9157,19261.7,199944,0,64064301
1,64,64,3,0,28.7138,0.000111491,0.0012207,0.35422,0,64064310
1,64,64,3,1,38.9743,0.807975,3.047,1999.41,0,64064311
2,64,64,3,0,19.4155,0.000112442,0.000854492,0.358221,0,64064320
2,64,64,3,1,88.4512,0.797714,3.27631,1999.37,0,64064321
0,64,64,4,0,21.9036,0.000127863,0.00195312,0.406919,0,64064400
0,64,64,4,1,12.1906,0.000731917,0.0878906,2.24808,0,64064401
1,64,64,4,0,52.0412,0.000112273,0.00170898,0.356513,0,64064410
1,64,64,4,1,22.1806,0.807904,3.9724,2001.55,0,64064411
2,64,64,4,0,54.4801,0.000111503,0.00183105,0.354982,0,64064420
2,64,64,4,1,51.2331,0.796594,10.5777,2001.65,0,64064421
0,64,64,5,0,45.8372,0,0,0,0,64064500
0,64,64,5,1,89.6252,0.143102,45.2684,441.393,0,64064501
1,64,64,5,0,33.7641,0,0,0,0,64064510
1,64,64,5,1,38.8258,0.133802,53.8513,441.409,0,64064511
2,64,64,5,0,27.8125,0,0,0,0,64064520
2,64,64,5,1,89.8851,12.7534,5502.51,44139.8,0,64064521
0,64,128,0,0,49.4938,244.817,1895.66,722105,1,128064000
0,64,128,0,1,67.762,244.816,1895.65,722105,1,128064001
1,64,128,0,0,32.3477,264.006,1680.61,587776,1,128064010
1,64,128,0,1,16.9499,263.328,1610.11,587849,1,128064011
2,64,128,0,0,71.7851,264.862,1657.64,587784,1,128064020
2,64,128,0,1,40.4286,265.486,1677.97,587863,1,128064021
0,64,128,1,0,35.9951,250.633,1786.24,728783,1,128064100
0,64,128,1,1,16.0286,250.634,1786.23,728783,1,128064101
1,64,128,1,0,51.9432,269.212,1585.07,595047,1,128064110
1,64,128,1,1,33.6294,268.632,1544.39,595117,1,128064111
2,64,128,1,0,48.9247,308.399,1762.66,585562,1,128064120
2,64,128,1,1,30.9107,308.087,1767.21,585605,1,128064121
0,64,128,2,0,13.8452,0,0,0,1,128064200
0,64,128,2,1,18.8538,11.7884,20839.5,201494,1,128064201
1,64,128,2,0,39.673,4.73E-05,0.000244141,0.126345,1,128064210
1,64,128,2,1,49.4907,27.4568,21315.8,204509,1,128064211
2,64,128,2,0,31.8113,4.09E-05,0.000244141,0.117172,1,128064220
2,64,128,2,1,69.2343,14.7374,20028.2,204374,1,128064221
0,64,128,3,0,33.1952,8.55E-05,0.000610352,0.258823,1,128064300
0,64,128,3,1,15.7218,41.598,12834.8,228892,1,128064301
1,64,128,3,0,66.4245,36.5996,201.841,82855.6,1,128064310
1,64,128,3,1,34.2578,7540.1,167159,2.00E+07,1,128064311
2,64,128,3,0,39.4373,0.000123126,0.000732422,0.294153,1,128064320
2,64,128,3,1,16.1533,4838.58,1.12E+06,2.00E+07,1,128064321
0,64,128,4,0,66.4955,0,0,0,1,128064400
0,64,128,4,1,34.9287,5732.29,1.11E+06,2.00E+07,1,128064401
1,64,128,4,0,43.7523,40.5958,892.603,94254.1,1,128064410
1,64,128,4,1,18.9582,40.6253,878.889,94286,1,128064411
2,64,128,4,0,101.655,0.000145727,0.00134277,0.347737,1,128064420
2,64,128,4,1,42.0529,6586.13,1.94E+06,2.01E+07,1,128064421
0,64,128,5,0,18.8612,0,0,0,1,128064500
0,64,128,5,1,14.7005,14.3732,2978.84,45129.1,1,128064501
1,64,128,5,0,49.0175,0,0,0,1,128064510
1,64,128,5,1,38.6985,17.6878,3508.48,45915.9,1,128064511
2,64,128,5,0,31.2418,0,0,0,1,128064520
2,64,128,5,1,35.1653,18.1452,3748.25,45125.3,1,128064521
0,64,256,0,0,148.195,310.518,1843.59,881703,3,256064000
0,64,256,0,1,64.3161,310.518,1843.55,881703,3,256064001
1,64,256,0,0,75.4436,383.143,2073.4,829783,3,256064010
1,64,256,0,1,30.8222,383.727,2019.71,829835,3,256064011
2,64,256,0,0,72.5742,387.653,1801.97,830521,3,256064020
2,64,256,0,1,30.294,387.199,1831.58,830577,3,256064021
0,64,256,1,0,62.3607,311.527,1905.22,891138,3,256064100
0,64,256,1,1,24.2317,311.527,1905.21,891138,3,256064101
1,64,256,1,0,57.7821,390.375,1854.98,841128,3,256064110
1,64,256,1,1,24.4214,390.201,1871.31,841178,3,256064111
2,64,256,1,0,57.0139,392.485,2127.99,837819,3,256064120
2,64,256,1,1,25.1068,394.863,2127.34,837865,3,256064121
0,64,256,2,0,13.3731,1.20E-05,0.00012207,0.0729912,3,256064200
0,64,256,2,1,21.9218,13.4962,14738.5,201511,3,256064201
1,64,256,2,0,50.5895,6.47E-05,0.000366211,0.155818,3,256064210
1,64,256,2,1,50.7749,41.7893,17078.8,204505,3,256064211
2,64,256,2,0,22.8164,8.65E-05,0.000366211,0.151306,3,256064220
2,64,256,2,1,28.1424,23.2431,22444.9,204557,3,256064221
0,64,256,3,0,89.5567,6.09E-05,0.000366211,0.202683,3,256064300
0,64,256,3,1,51.9552,3592.02,1.88E+06,2.00E+07,3,256064301
1,64,256,3,0,92.2959,0.00014783,0.000976562,0.356316,3,256064310
1,64,256,3,1,32.4262,7647.4,521544,2.00E+07,3,256064311
2,64,256,3,0,39.9873,8.59E-05,0.000366211,0.214335,3,256064320
2,64,256,3,1,22.1064,49.1631,11510.2,221629,3,256064321
0,64,256,4,0,86.3905,0,0,0,3,256064400
0,64,256,4,1,43.4154,7006.24,1.47E+06,2.00E+07,3,256064401
1,64,256,4,0,86.316,0.268968,227.882,1548.49,3,256064410
1,64,256,4,1,24.9538,9851.14,425976,2.01E+07,3,256064411
2,64,256,4,0,110.92,0.000123038,0.000976562,0.297964,3,256064420
2,64,256,4,1,42.2486,104.497,8871.87,231384,3,256064421
0,64,256,5,0,25.0674,0,0,0,3,256064500
0,64,256,5,1,22.2489,14.8669,2400.73,45138.7,3,256064501
1,64,256,5,0,73.1625,2.38E-05,0.000183105,0.0566169,3,256064510
1,64,256,5,1,42.3335,21.1704,2696.34,46091.8,3,256064511
2,64,256,5,0,43.1385,1.44E-05,9.16E-05,0.0416153,3,256064520
2,64,256,5,1,45.0065,17.8098,1897.37,45134.4,3,256064521
0,64,512,0,0,171.946,339.444,1852.23,948165,7,512064000
0,64,512,0,1,48.0393,339.443,1852.23,948165,7,512064001
1,64,512,0,0,162.537,437.419,1834.36,925855,7,512064010
1,64,512,0,1,49.0193,437.344,1835.71,925888,7,512064011
2,64,512,0,0,167.517,435.596,1854.03,925961,7,512064020
2,64,512,0,1,48.4727,435.965,1867.12,925994,7,512064021
0,64,512,1,0,174.176,340.781,1769.88,959348,7,512064100
0,64,512,1,1,48.1766,340.781,1769.82,959348,7,512064101
1,64,512,1,0,164.346,443.121,1830.37,937897,7,512064110
1,64,512,1,1,49.0501,443.356,1909.99,937932,7,512064111
2,64,512,1,0,163.04,444.179,1791.38,936644,7,512064120
2,64,512,1,1,48.5248,443.784,1803.65,936676,7,512064121
0,64,512,2,0,22.5998,1.04E-05,0.00012207,0.0678486,7,512064200
0,64,512,2,1,44.442,30.8634,14173.9,201500,7,512064201
1,64,512,2,0,66.3909,4.32E-05,0.000244141,0.120252,7,512064210
1,64,512,2,1,63.93,53.9288,9489.58,204572,7,512064211
2,64,512,2,0,38.7603,3.60E-05,0.000183105,0.117314,7,512064220
2,64,512,2,1,45.0642,34.7377,10581.9,204539,7,512064221
0,64,512,3,0,110.92,4.06E-05,0.000244141,0.15079,7,512064300
0,64,512,3,1,80.9353,52.8234,13272.7,208928,7,512064301
1,64,512,3,0,117.391,0.000102058,0.000610352,0.254275,7,512064310
1,64,512,3,1,45.6125,7124.31,1.04E+06,2.00E+07,7,512064311
2,64,512,3,0,74.5874,6.99E-05,0.000366211,0.170308,7,512064320
2,64,512,3,1,44.4301,53.374,12417.4,211874,7,512064321
0,64,512,4,0,114.784,0,0,0,7,512064400
0,64,512,4,1,44.2674,8956.48,407103,2.00E+07,7,512064401
1,64,512,4,0,166.426,0.000142946,0.0012207,0.34898,7,512064410
1,64,512,4,1,44.775,11490.3,428689,2.01E+07,7,512064411
2,64,512,4,0,119.487,0.000110252,0.000854492,0.26458,7,512064420
2,64,512,4,1,42.5478,115.217,6581.66,216986,7,512064421
0,64,512,5,0,51.3488,0,0,0,7,512064500
0,64,512,5,1,41.2664,19.8344,1887.13,45140,7,512064501
1,64,512,5,0,80.3109,2.31E-05,0.000152588,0.0553992,7,512064510
1,64,512,5,1,42.7602,27.096,1975.52,46166.9,7,512064511
2,64,512,5,0,53.6143,1.36E-05,9.16E-05,0.0389721,7,512064520
2,64,512,5,1,42.4983,22.4565,2979.58,45128.6,7,512064521
0,64,1024,0,0,567.47,349.99,1669.76,975147,12,1024064000
0,64,1024,0,1,108.4,349.99,1669.81,975147,12,1024064001
1,64,1024,0,0,545.63,461.439,1636.66,967082,12,1024064010
1,64,1024,0,1,109.427,474.144,2232.48,998831,12,1024064011
2,64,1024,0,0,550.358,461.196,1718.61,967553,12,1024064020
2,64,1024,0,1,108.158,475.384,2329.44,999588,12,1024064021
0,64,1024,1,0,556.243,355.144,1717.91,987459,12,1024064100
0,64,1024,1,1,108.785,355.144,1717.92,987459,12,1024064101
1,64,1024,1,0,555.373,468.566,1762.02,979188,12,1024064110
1,64,1024,1,1,108.047,483.266,2311.3,1.01E+06,12,1024064111
2,64,1024,1,0,546.929,465.645,1681.6,978859,12,1024064120
2,64,1024,1,1,109.015,480.845,2456.49,1.01E+06,12,1024064121
0,64,1024,2,0,46.0435,1.20E-05,0.00012207,0.0729912,12,1024064200
0,64,1024,2,1,97.2397,54.7695,13998.6,201504,12,1024064201
1,64,1024,2,0,113.42,4.60E-05,0.000366211,0.125611,12,1024064210
1,64,1024,2,1,97.624,74.9796,9979.03,204551,12,1024064211
2,64,1024,2,0,109.477,8.65E-05,0.000366211,0.151306,12,1024064220
2,64,1024,2,1,97.738,60.041,16161.2,204578,12,1024064221
0,64,1024,3,0,145.485,4.39E-05,0.000244141,0.137587,12,1024064300
0,64,1024,3,1,98.8863,96.1714,12968.7,204568,12,1024064301
1,64,1024,3,0,290.133,8.57E-05,0.000488281,0.20074,12,1024064310
1,64,1024,3,1,98.2686,117.294,11563.3,216927,12,1024064311
2,64,1024,3,0,190.866,6.21E-05,0.000244141,0.155571,12,1024064320
2,64,1024,3,1,100.099,90.4651,12758.3,206089,12,1024064321
0,64,1024,4,0,332.007,7.38E-05,0.000854492,0.249799,12,1024064400
0,64,1024,4,1,94.19,117.806,8256.97,212063,12,1024064401
1,64,1024,4,0,406.919,0.000150747,0.00170898,0.36402,12,1024064410
