Timing,MaxError,Compres,ID
28.7123,1434.77,1,16008000
31.0184,1434.79,1,16008001
21.4287,1515.75,1,16008010
43.1907,1528.13,1,16008011
17.6858,1396.92,1,16008020
13.2248,1532.76,1,16008021
31.2516,1630.82,1,16008100
51.0855,1630.74,1,16008101
25.0519,1549,1,16008110
31.1474,1597.46,1,16008111
13.6611,1467.28,1,16008120
13.3265,1475.98,1,16008121
22.0362,0,1,16008200
39.4691,244.242,1,16008201
24.316,0.000366211,1,16008210
31.3768,227.333,1,16008211
12.9022,0.000366211,1,16008220
13.2001,194.916,1,16008221
35.0746,1156.14,1,16008300
30.4289,1156.14,1,16008301
14.1468,1257.1,1,16008310
13.4106,1256.91,1,16008311
28.7213,1030.11,1,16008320
40.1845,1022.84,1,16008321
15.6218,1155.95,1,16008400
12.5863,1155.95,1,16008401
26.7802,1276.97,1,16008410
36.6043,1275.72,1,16008411
23.9061,1019.48,1,16008420
31.5385,1008.46,1,16008421
8.95568,9.16E-05,1,16008500
3.80845,33.1066,1,16008501
18.3625,0.879074,1,16008510
16.0076,25.7332,1,16008511
23.0252,9.16E-05,1,16008520
32.7685,54.607,1,16008521
11.9315,1736.55,3,32008000
7.67341,1736.62,3,32008001
23.7882,1759.71,3,32008010
28.7364,1787.55,3,32008011
30.7541,1820.17,3,32008020
75.4542,1815.99,3,32008021
22.3093,1736.1,3,32008100
23.7324,1736.09,3,32008101
16.861,1862.89,3,32008110
48.1423,1849.76,3,32008111
17.1999,1785.76,3,32008120
22.3704,1752.84,3,32008121
15.8001,0.00012207,3,32008200
22.6134,61.1534,3,32008201
9.00214,0.000244141,3,32008210
206.162,135.918,3,32008211
8.64493,0.000183105,3,32008220
7.62893,189.362,3,32008221
25.2202,1426.36,3,32008300
80.6333,1426.48,3,32008301
20.014,1424.91,3,32008310
23.9503,1424.71,3,32008311
30.7787,1253.14,3,32008320
60.7187,1252.49,3,32008321
39.5406,1436.55,3,32008400
56.5792,1436.55,3,32008401
10.6515,1439.44,3,32008410
7.14336,1439.83,3,32008411
23.9517,1271.5,3,32008420
23.8043,1271.25,3,32008421
18.2152,9.16E-05,3,32008500
22.2016,22.4236,3,32008501
19.2715,1.98935,3,32008510
26.134,10.0623,3,32008511
15.3021,6.10E-05,3,32008520
23.6217,3053.58,3,32008521
51.9287,1796.01,7,64008000
83.8705,1796.01,7,64008001
18.0923,1838.83,7,64008010
12.564,1737.78,7,64008011
36.0765,1804.97,7,64008020
41.5181,1821.53,7,64008021
18.1226,1741.04,7,64008100
275.95,1741.06,7,64008101
16.44,1658.29,7,64008110
11.922,1686.29,7,64008111
43.5364,1830.22,7,64008120
43.1352,1773.07,7,64008121
11.2127,0.00012207,7,64008200
99.873,241.838,7,64008201
12.8611,0.000244141,7,64008210
12.4268,89.1446,7,64008211
38.2662,0.000366211,7,64008220
64.4479,122.661,7,64008221
55.2738,1286.86,7,64008300
46.4311,2595.69,7,64008301
38.0669,1423.22,7,64008310
40.9214,1422.92,7,64008311
55.4845,1164.38,7,64008320
104.666,1165.07,7,64008321
20.9807,1300.03,7,64008400
12.1208,1300.04,7,64008401
35.1052,1483.91,7,64008410
57.5602,1486.32,7,64008411
29.3268,1176.63,7,64008420
38.09,1176.78,7,64008421
18.5342,0,7,64008500
38.4155,11.0044,7,64008501
26.4111,1.93294,7,64008510
103.426,9.53502,7,64008511
12.9719,9.16E-05,7,64008520
11.8988,2945.13,7,64008521
47.4934,1835.81,15,128008000
30.1729,1835.8,15,128008001
32.4394,1653.94,15,128008010
16.4489,1634.1,15,128008011
57.2716,1545.22,15,128008020
34.8955,1524.89,15,128008021
43.9219,1595.81,15,128008100
29.9961,1595.78,15,128008101
32.1351,1687.21,15,128008110
16.8777,1705.88,15,128008111
56.9081,1593.77,15,128008120
34.7763,1573.95,15,128008121
12.1053,0.00012207,15,128008200
16.9356,5114.68,15,128008201
41.5661,0.000244141,15,128008210
43.49,5325.96,15,128008211
36.0318,0.000183105,15,128008220
69.0196,14589.4,15,128008221
33.4442,1383.29,15,128008300
15.2987,2139.55,15,128008301
68.6719,1369.74,15,128008310
39.0501,95076.2,15,128008311
61.133,1103.54,15,128008320
37.6471,268211,15,128008321
42.8739,1367.98,15,128008400
17.5144,201888,15,128008401
75.6341,1384.39,15,128008410
35.9738,1380.7,15,128008411
72.2661,1124.23,15,128008420
33.8252,234469,15,128008421
19.7178,0,15,128008500
16.3228,1130.66,15,128008501
69.3006,1.99664,15,128008510
43.3335,421.315,15,128008511
49.7737,6.10E-05,15,128008520
63.0387,1774.74,15,128008521
145.027,1843.8,31,256008000
94.966,1843.8,31,256008001
66.1767,1511.82,31,256008010
28.0379,1506.27,31,256008011
120.517,1424.14,31,256008020
54.9122,1454.54,31,256008021
61.2633,1346.63,31,256008100
23.9399,1346.63,31,256008101
56.8076,1603.39,31,256008110
24.1415,1601.07,31,256008111
57.8477,1493.67,31,256008120
24.2022,1506.07,31,256008121
13.0236,0.00012207,31,256008200
22.3048,14700.7,31,256008201
48.9488,0.000366211,31,256008210
50.9199,4513.91,31,256008211
51.7268,0.000366211,31,256008220
79.1556,10317.7,31,256008221
51.3218,1189.33,31,256008300
29.0051,283057,31,256008301
159.527,1251.98,31,256008310
56.1098,223344,31,256008311
43.039,1254.47,31,256008320
24.3156,1530.95,31,256008321
112.968,1106.86,31,256008400
50.0922,219002,31,256008401
118.367,1295.73,31,256008410
33.3636,209413,31,256008411
56.5349,1258.18,31,256008420
22.3011,1255.07,31,256008421
37.934,0,31,256008500
43.2745,1396.93,31,256008501
59.8219,2.01456,31,256008510
32.816,262.144,31,256008511
56.6104,6.10E-05,31,256008520
55.2606,689.059,31,256008521
219.783,1552.1,60,512008000
107.153,1552.1,60,512008001
165.048,1500.48,60,512008010
48.4028,1488.84,60,512008011
165.136,1419.13,60,512008020
49.3227,1449.53,60,512008021
171.069,1337.58,60,512008100
51.5819,1337.57,60,512008101
164.979,1365.54,60,512008110
51.0912,1369.1,60,512008111
168.457,1357.03,60,512008120
49.3516,1371.67,60,512008121
22.4341,0.00012207,60,512008200
43.5902,5434.98,60,512008201
82.9422,0.000244141,60,512008210
87.2622,1677.26,60,512008211
39.1521,0.000183105,60,512008220
44.2649,1663.35,60,512008221
113.283,0.000183105,60,512008300
74.57,2351.8,60,512008301
122.095,954.696,60,512008310
44.0892,179522,60,512008311
73.0838,0.000366211,60,512008320
44.8621,884.212,60,512008321
116.224,23.8152,60,512008400
42.7609,162657,60,512008401
164.226,957.157,60,512008410
44.1044,155665,60,512008411
118.439,48.5672,60,512008420
43.3708,771.843,60,512008421
49.6773,9.16E-05,60,512008500
41.7743,286.634,60,512008501
121.312,1.99469,60,512008510
67.7698,265.45,60,512008511
52.8744,6.10E-05,60,512008520
43.2275,1917.73,60,512008521
560.725,1397.79,102,1024008000
109.062,1397.76,102,1024008001
542.913,1320.07,102,1024008010
107.509,1540.3,102,1024008011
542.633,1321.23,102,1024008020
109.288,1547.97,102,1024008021
566.186,1199.87,102,1024008100
107.38,1199.88,102,1024008101
545.766,1332.28,102,1024008110
114.075,1470.71,102,1024008111
538.568,1249.8,102,1024008120
106.943,1578.79,102,1024008121
45.5425,0.00012207,102,1024008200
94.9866,1516.38,102,1024008201
111.998,0.000366211,102,1024008210
96.2409,1028.59,102,1024008211
107.896,0.000366211,102,1024008220
98.4153,1483.76,102,1024008221
143.384,0.000183105,102,1024008300
97.4661,5375.91,102,1024008301
285.716,483.808,102,1024008310
99.1698,1232.67,102,1024008311
188.997,0.000152588,102,1024008320
98.9467,812.757,102,1024008321
328.806,11.5699,102,1024008400
93.9354,1514.74,102,1024008401
403.302,484.798,102,1024008410
93.8623,1224.37,102,1024008411
362.738,16.2677,102,1024008420
94.9959,764.77,102,1024008421
149.783,9.16E-05,102,1024008500
91.6466,251.37,102,1024008501
264.908,2.01038,102,1024008510
93.8509,290.227,102,1024008511
113.425,6.10E-05,102,1024008520
93.902,290.338,102,1024008521
3093.41,1339.11,128,2048008000
279.696,117882,128,2048008001
2748.27,1294.16,128,2048008010
271.216,100935,128,2048008011
2752.01,1277.92,128,2048008020
277.368,108766,128,2048008021
3191.71,1267.76,128,2048008100
282.695,117853,128,2048008101
2783.13,1216.41,128,2048008110
272.589,114846,128,2048008111
2784.42,1299.52,128,2048008120
279.42,105852,128,2048008121
129.114,0.000244141,128,2048008200
237.132,1756.8,128,2048008201
555.422,0.000244141,128,2048008210
241.415,1467.13,128,2048008211
417.142,0.000183105,128,2048008220
237.334,991.448,128,2048008221
492.827,0.00012207,128,2048008300
240.627,2940.21,128,2048008301
846.191,0.000244141,128,2048008310
239.189,1413.31,128,2048008311
304.279,0.000244141,128,2048008320
244.238,1606.31,128,2048008321
1906.77,4.84485,128,2048008400
235.449,1540.57,128,2048008401
2196.29,11.9436,128,2048008410
258.562,1269.06,128,2048008411
1185.52,4.46619,128,2048008420
241.017,1341.08,128,2048008421
653.384,9.16E-05,128,2048008500
236.667,420.64,128,2048008501
1311.48,2.00543,128,2048008510
238.91,304.891,128,2048008511
454.545,6.10E-05,128,2048008520
238.706,224.981,128,2048008521
